id,rowid,avalue,addressout,addressin,bvalue,bit_position,buttonpath,code,decimal,defaultvalue,delay,delta,description,dimension,frequency,functioncode,grpcategory,idgroup,idhsvariable,idvarmdl,idvariable,imageoff,imageon,inserttime,isactive,iscancelled,ishaccp,islogic,isonchange,lastupdate,length,maximum,measureunit,minimum,priority,readwrite,signed,todisplay,type,varencoding,detail_id,devicemodel
d647d151-e03a-4bb0-935a-7624109fdf3c,2729,,29,29,,0,,Al_Fan5_L1,false,0,0,0,L1 - Fan 5 alarm,16,30,,48,8,-1,60323,49895,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
6ae92b12-ee75-4dd0-9504-7264384350fa,2730,,135,135,,0,,Al_Fan11_Or_L2,false,0,0,0,L2 - Fan 11 alarm,16,30,,48,8,-1,60336,49908,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
c2450748-546e-4853-9de0-c51e95e060d0,2731,,170,170,,0,,Al_Prb4_Cond_L2,false,0,0,0,L2 - Discharge temperature probe 4 alarm,16,30,,46,8,-1,60337,49909,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
75588b9d-2f3a-49fe-a0f6-22304751103f,2732,,70,70,,0,,Al_Prb4_Cond_L1,false,0,0,0,L1 - Discharge temperature probe 4 alarm,16,30,,46,8,-1,60338,49910,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
5a42c5ca-cc59-46b3-a719-4327d45f551a,2733,,36,36,,0,,Al_Fan12_L1,false,0,0,0,L1 - Fan 12 alarm,16,30,,48,8,-1,60343,49915,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
81958d0d-69b1-4a72-8418-eb8e4c292e28,2734,,140,140,,0,,Al_Fan16_Or_L2,false,0,0,0,L2 - Fan 16 alarm,16,30,,48,8,-1,60347,49919,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
c0550ee6-db9d-4e4b-86aa-c22c0e1a226f,2735,,5,5,,12,,Al_Oil_C2_L1,false,0,0,0,L1 - Compressor 2 oil alarm,16,30,,43,8,-1,60360,49932,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
24e382d2-5c02-4133-a366-add9eb9d5f0d,2736,,105,105,,12,,Al_Oil_C2_L2,false,0,0,0,L2 - Compressor 2 oil alarm,16,30,,43,8,-1,60361,49933,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
e4b636d3-acbe-4af4-9884-9ef8328a9b1d,2737,,7,7,,11,,Al_LP_C6_L1,false,0,0,0,L1 - Compressor 6 low pressure pressostat alarm,16,30,,43,8,-1,60372,49945,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
86192293-694e-41e4-8c9a-4a657a2ccde3,2738,,107,107,,11,,Al_LP_C6_L2,false,0,0,0,L2 - Compressor 6 low pressure pressostat alarm,16,30,,43,8,-1,60373,49946,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
